ml_riddle	originalriddle	originalriddleanswer
ml_30	बिन खाए, बिन पिए, सबके घर में रहता हूँ । ना हँसता हूँ, ना रोता हूँ, घर की रखवाली करता हूँ।,	ताला।
ml_31	ऐसी कौन – सी चीज है, जो फ्रीज़ में रखने के बाद भी गरम रहती है?,	गरम मसाला
ml_32	वह कौन है, जो हमेशा पीटने के लिए हीं बना है?,	ढोल
ml_33	ऐसी कौन – सी चीज है, जिसके पास रिंग तो है मगर पहनने के लिए ऊँगली नहीं है?,	मोबाईल
ml_34	ऐसी कौन – सी ड्रेस है जिसे हम कभी पहन नहीं सकते हैं?,	एड्रेस (Address)
ml_35	ऐसा कौन – सा सवाल है, जिसका जवाब हर वक्त बदलता रहता है?,	समय क्या हुआ है?
ml_36	पानी से पैदा होता है, पानी में मर जाता है,भोजन से तो मेरा गहरा नाता है।,	नमक
ml_37	रबड़ मुझे हराता है, लोहा मुझे खींच पाता है बताओ क्या?,	चुंबक
ml_38	वह कौन सा पक्षी है, जो पानी में तैरता भी है, आकाश में उड़ता भी है और जमीन पर चलता भी है?,	बत्तख
ml_39	ऐसी कौन – सी चीज है, जिसे हम पानी के अंदर खाते हैं?,	गोता
ml_40	ऐसी कौन – सी चीज है, जिसकी आँखों में ऊँगली डालो तो वह अपना मुँह खोल देती है!,	कैंची
ml_41	संजना की चार बेटियां हैं, चारों बेटियों के एक-एक भाई, बताओ संजना को कितने बच्चे हैं?,	पाँच
ml_42	मैं एक बार मुडूंगा तो सबको रोक दूंगा, एक बार मुडूंगा तो सब कुछ खोल दूंगा, मैं क्या हूँ?,	एक चाबी
ml_43	एक जिससे आप डरते हैं, जिससे आप डरते वो उजाले से डरता हैं?,	अँधेरा
ml_44	आदमी ने ऊंगली से 6 लोगों को 6 सैकंड में उपर पहुचा दिया. वो स्पाइडरमैन नही था, सुपरमैन भी नही था और मैंन भी नही था, तो बताओं कौन था.,	लिफ्टमैन
ml_45	हमेशा आपके सामने रहता हूँ लेकिन दिखाई नहीं देता, बताओ कौन हूँ मैं?,	भविष्य
ml_46	मेरी शाखाएँ हैं, लेकिन मैं पेड़ नहीं हूँ. बध्ताहूँ घटता हूँ लेकिन कोई फल, तना या पत्तियाँ नहीं हैं। बताओ, मैं क्या हूँ?,	एक बैंक
ml_47	ऐसी कौन सी चीज है, जिसके पास अनेक चाबियां होती हैं लेकिन एक भी ताला नहीं खुल सकता?,	एक पियानो
ml_48	एक बैंड, जिससे कभी कोई संगीत नहीं निकलता?,	एक रबर बैंड
ml_49	कटोरे पे कटोरा बेटा बाप से भी गोरा।,	नारियल
ml_50	एक किले के दो हीं द्वार,\nउनमें सैनिक लकड़ीदार |\nटकराए जब दीवारों से,\nख़त्म हो जाए उनका संसार |,	माचिस
ml_51	रंग बिरंगा बदन है इसका, कुदरत का वरदान मिला,\nइतनी सुंदरता पाकर भी, दो अक्षर का नाम मिला,\nये वन में करता शोर, इसके चर्चे हैं हर ओर।,	मोर
ml_52	पंख नहीं पर उड़ती हूँ,\nहाथ नहीं पर लड़ती हूँ |,	पतंग
ml_53	डब्बे पर डब्बा, डब्बे का गाँव,\nचलती फिरती बस्ती है, लोहे के पाँव |,	रेलगाड़ी
ml_54	कमर पतली है, पैर सुहाने,\nकहीं गए होंगे बीन बजाने |,	मच्छर
ml_55	बच्चों! एक लाठी की सुनो कहानी,\nछुपा है जिसमें मीठा – मीठा पानी |,	गन्ना
ml_56	आपकों सुखाता, खुद को भीगाता,\nमेरा नाम बताओ लाला?,	छतरी
ml_57	मेरे नाम के दो मतलब हैं, दोनों के हैं अर्थ निराले, एक अर्थ में सब्जी हूं मैं, एक अर्थ में पालने वाले।,	पालक
ml_58	घर के ऊपर में रहता, धूप से तुझे बचाता, बारिश में मैं खुद भीगता, आंच न तुझ पर आने देता।,	छत
ml_59	तीन पंख का ऐसा पक्षी, सबके घर में रहता, वर्षा और सर्दी में सोता, बस गर्मी में उड़ता।,	पंखा
ml_60	सरस्वती की सफेद सवारी, मोती जिसको भाते, करके अलग दूध से पानी, बोलो कौन कहलाते?,	हंस
ml_61	अगर नाक पर मैं चढ़ जाऊँ,\nतो कान पकड़कर खूब पढ़ाऊँ |,	चश्मा
ml_62	कल बनू धड़ के बिन, मल बनू सिर हीन, पैर कटे तो थोड़ा रहूं, अक्षर है कुल तीन।,	कमल
ml_63	ऐसी कौन सी चीज़ है जो जितना बढ़ती है, उतनी ही छोटी होती जाती है?	मोमबत्ती
ml_64	ऐसा कौन सा कमरा है जिसमें दरवाजा, खिड़की कुछ भी नहीं होता?	मशरूम
ml_65	ऐसा कौन सा सवाल है जिसका जवाब हमेशा अलग होता है?	समय
ml_66	ऐसी कौन सी चीज़ है जो ऊपर जाती है लेकिन कभी नीचे नहीं आती?	उम्र
ml_67	ऐसी कौन सी चीज़ है जो रात में दिखाई देती है लेकिन दिन में नहीं?	तारे
ml_68	ऐसी कौन सी चीज़ है जिसे जितना खींचोगे, उतनी छोटी होती जाएगी?	रबर
ml_69	ऐसी कौन सी चीज़ है जिसे जितना ज्यादा भरते हो, उतनी ज्यादा खाली होती जाती है?	गड्ढा
ml_70	ऐसा क्या है जिसे बिना छुए तोड़ सकते हैं?	वादा
ml_71	ऐसी कौन सी चीज़ है जो खुद गिरती है और दूसरों को उठाती है?	बारिश
ml_72	ऐसा क्या है जो सूरज की रोशनी में गायब हो जाता है?	परछाई
ml_73	ऐसा क्या है जिसे जितना ज्यादा बांटोगे, उतना ही बढ़ता जाएगा?	ज्ञान
ml_74	ऐसी कौन सी चीज़ है जो एक जगह से दूसरी जगह बिना हिले चली जाती है?	चिट्ठी
ml_75	ऐसी कौन सी चीज़ है जिसका कोई शरीर नहीं, फिर भी हड्डियाँ होती हैं?	मछली
ml_76	ऐसी कौन सी चीज़ है जो खुद भी हंसती है और दूसरों को भी हंसाती है?	जोकर
ml_77	ऐसी कौन सी चीज़ है जो खुद भी चलती है और दूसरों को भी चलाती है?	घड़ी
ml_78	ऐसी कौन सी चीज़ है जिसे हाथ से पकड़ सकते हैं लेकिन देख नहीं सकते?	हवा
ml_79	ऐसी कौन सी चीज़ है जिसे इंसान जितना निकालता है, उतनी ही बढ़ती जाती है?	सांस
ml_80	ऐसा क्या है जो जितना ज्यादा गर्म होता है, उतना ही ठंडा लगता है?	पसीना
ml_81	ऐसा कौन सा पक्षी है जो बिना पंखों के उड़ सकता है?	पतंग
ml_82	ऐसी कौन सी चीज़ है जो सूरज की रोशनी में गायब हो जाती है?	परछाई
ml_83	ऐसा क्या है जिसे काट सकते हैं लेकिन पकड़ नहीं सकते?	हवा
ml_84	ऐसी कौन सी चीज़ है जो खुद भी गिरती है और दूसरों को उठाती है?	बारिश
ml_85	ऐसी कौन सी चीज़ है जिसे जितना ज्यादा बांटोगे, उतना ही बढ़ता जाएगा?	ज्ञान
ml_86	ऐसी कौन सी चीज़ है जो बिना देखे काम कर सकती है?	घड़ी
ml_87	ऐसी कौन सी चीज़ है जो बिना बिजली के भी जल सकती है?	मोमबत्ती
ml_88	ऐसी कौन सी चीज़ है जिसे लोग सुनते हैं पर देख नहीं सकते?	आवाज़
ml_89	ऐसी कौन सी चीज़ है जो कागज की होती है लेकिन सोने से भी महंगी होती है?	नोट
ml_90	ऐसी कौन सी चीज़ है जो जितनी काटो उतनी लंबी होती जाती है?	पेंसिल
ml_91	ऐसी कौन सी चीज़ है जिसे जितना ज्यादा डालो, उतना हल्का हो जाता है?	गड्ढा
ml_92	ऐसी कौन सी चीज़ है जो सिर्फ आगे बढ़ सकती है, पीछे नहीं जा सकती?	समय
ml_93	ऐसी कौन सी चीज़ है जो किसी का भी पीछा नहीं छोड़ती?	परछाई
ml_94	ऐसी कौन सी चीज़ है जो देखने में बहुत छोटी होती है लेकिन पूरी दुनिया उसमें समा सकती है?	आईना
ml_95	ऐसा क्या है जिसे हम छू नहीं सकते लेकिन महसूस कर सकते हैं?	हवा
ml_96	ऐसी कौन सी चीज़ है जिसे जितना ज्यादा खाओ उतनी ज्यादा भूख लगती है?	ज्ञान
