ml_riddle	originalriddle	originalriddleanswer
ml_36	చెట్టుకు కాయ‌ని కాయ కర‌క‌ర‌లాడే కాయ‌? ఏంట‌ది?	క‌జ్జికాయ‌
ml_37	ఇల్లు మొత్తం వెలుగు, బల్ల కింద చీకటి?	దీపం
ml_38	ఇంట్లో మొగ్గ బ‌య‌ట‌కొస్తే పువ్వు?	గొడుగు
ml_39	ఆడవారు తక్కువగా మాట్లాడే నెల?	ఫిబ్రవరి
ml_40	నాలుగు క‌ర్ర‌ల మ‌ద్య న‌ల్ల‌రాయి? ఏంట‌ది?	ప‌ల‌క‌
ml_41	ఆడదానికి పుట్టినింట ఒకటి, మెట్టినింట ఒకటి?	ఇంటి పేరు
ml_42	అడవిలో చిన్న గని, గనికి చాలా గదులు, గదికొక్క సిపాయి, సిపాయికొక్క తుపాకి?	తేనే పట్టు
ml_43	ఎర్రగా ఉంటాను కాని నేనెవరితో సరసాలాడను, నన్ను ముట్టుకుంటే ఊరుకోను.	నిప్పు
ml_44	ఇష్టంగా తెచ్చుకుంటారు, చంపి ఏడుస్తారు?	ఉల్లి
ml_45	ఇంటిలో ఉంటే ప్రమోదము, ఒంటిలో ఉంటే ప్రమాదము?	పంచదార
ml_46	అన్నదమ్ములు ఇద్దరు, ఒకరంటే మరొకరికి పడదు, ఎప్పుడూ కొట్టుకుంటూనే ఉంటారు. వారి మధ్యకు ఎవరైనా వొస్తే పచ్చడి పచ్చడే?	ఇసుర్రాయి
ml_47	సముద్రంలో పుట్టిపెరిగి ఊరిలో అరుస్తుంది, ఏమిటది?	శంఖం
ml_48	అడ‌విలో పుట్టాను అడ‌విలో పెరిగాను వంటినిండా గాయాలు క‌డుపునిండా రాగాలు	ముర‌ళి – ఫ్లూట్‌
ml_49	కోడి కాని కోడి, ఏమి కోడి?	చకోడి
ml_50	చారల పాపకి దూది కుచ్చు!	ఉడుత
ml_51	నీళ్లు నుంచి వ‌స్తుంది. నీకు నాకూ రుచిస్తుంది? ఇంత‌కీ ఏమిట‌ది?	పొట్ల‌కాయ‌లు
ml_52	పొద్దుటూరి చెట్లలో పొదిలింది చెళవాయి, చూసే వారే కాని పట్టే వారు లేరు?	సూర్యుడు
ml_53	అన్నదమ్ములు ముగ్గురు, తిరిగితే ముగ్గురూ తిరుగుతారు, మానితే ముగ్గురూ మానుతారు?	ఫ్యాన్
ml_54	కీచు కీచు పిట్ట! నేలకేసి కొట్ట!!	చీమిడి
ml_55	రెండు కొడతాయి, ఒకటి పెడుతుంది?	ఎండ, వాన, చలి
ml_56	గారు కాని గారు, ఏమిగారు?	కంగారు
ml_57	ఇంట్లో మొగ్గ, వీధిలో పువ్వు?	గొడుగు
ml_58	తెల్ల‌టి శ‌న‌గ‌ల‌లో ఒక‌టేరాయి, చేతితో చ‌ల్ల‌డం నోటితో ఏరుకోవ‌డం ఏంట‌ది?	పుస్త‌కం
ml_59	తెలిసేలా పూస్తుంది, తెలియకుండా కాస్తుంది?	వేరుశెనగ కాయ
ml_60	కర్రలతో అతి చిన్న కర్ర?	జీలకర్ర
ml_61	ఊరంతా కదిలిన, ఊరగాయ కుండ కదలదు?	బావి
ml_62	ఉరికంత ఒక్కటే దుప్పటి?	ఆకాశము
ml_63	చ‌క్క‌న‌మ్మ చిక్కినా అందంగా ఉంటుంది? ఏంట‌ది?	స‌బ్బు
ml_64	అడ‌విలో పుట్టింది అడ‌విలో పెరిగింది మా ఇంటికొచ్చింది తైత‌క్క లాడింది.	చిల్ల క‌వ్వ‌
ml_65	ప‌చ్చ‌ని పాముకు తెల్ల‌ని చార‌లు? ఏంట‌ది?	పొట్ల‌కాయ‌
ml_66	ముళ్ల కంచెలో మిఠాయి పొట్లం?	తేనె పట్టు
ml_67	ఎర్రనిచెట్టు! నీళ్లు పోస్తే చస్తుంది!!?	అగ్ని
ml_68	కొక లేదు, సీత కాదు! రామ చిలుక కానేకాదు!! అదేమిటి?	సీతాకోక చిలుక
ml_69	ఆడవారికి ఉండనిది, మగవారికి ఉండేది?	మీసము
ml_70	పెద్ద ఇంటిలో పొట్టివాన్ని నిలబెడితే నిండా నేనే?	దీపం
ml_71	అగ్గిపెట్టెలో ఇద్ద‌రు పోలీసులు ఏంట‌ది?	వేరుశ‌న‌గ కాయ‌
ml_72	జీడివారి కోడ‌లు సిరిగ‌ల వారికి ఆడ‌ప‌డుచు వ‌య‌సులో కులికే వ‌య్యారి వైశాఖ‌మాసంలో వ‌స్తుంది.	మామిడి పండు
ml_73	కిరు కిరు త‌లుపులు కిటారు త‌లుపులు వెయ్యంగ వెయ్య‌స్త‌వి గాని తియ్యంగా తియ్య‌రావు ఏంట‌వి?	ముగ్గు
ml_74	మొదట చప్పన, నడుమ పుల్లన, కొస కమ్మన?	పాలు, పెరుగు, నెయ్యి
ml_75	చీక‌టింట్లో జ‌డ‌ల ద‌య్యం ఏమిట‌ది?	ఉట్టి
ml_76	అన్నింటికన్నా విలువైనది, అందరికి అవసరమైనది?	ప్రాణము
ml_77	చిన్న చిట్టిలో కమ్మని కూర?	కిల్లీ
ml_78	అడవిలో పుట్టాను, నల్లగా అయ్యాను, ఇంటికి వచ్చాను, ఎర్రగా మారాను, తొట్టిలో పడ్డాను తెల్లగా మారాను?	బొగ్గు
ml_79	కొనే టప్పుడు నలుపు, తినేటప్పుడు ఎరుపు, పారేసేటప్పుడు తెలుపు ఏమిటది?	పుచ్చకాయ
ml_80	రాళ్ల అడుగున విల్లు, విల్లు కోనలో ముళ్లు?	తేలు
ml_81	నల్ల స్తంభం పైన నలుగురు దొంగలు?	లవంగం మొగ్గ
ml_82	రాజుగారి తోట‌లో రోజాపూలు చూచేవారేగాని లెక్క‌వేసేవారు కాదు ఏమిట‌వి?	చుక్క‌లు
ml_83	గట్టుమీద రాయి! మినుకు మినుకు రాయి!!	ముక్కు పుడక
ml_84	అందమైన గిన్నెలో ఎర్రని పిట్ట తోకతో నీళ్లు త్రాగుతుంది	దీపం వత్తి
ml_85	చిన్న పాపకు చాలా చీరలు. ఏమిటది?	ఉల్లిపాయ
ml_86	ఎర్రవాడొస్తే తెల్లవాడు, పారిపోయి దాక్కుంటాడు?	సూర్యుడు, చంద్రుడు
ml_87	గాలిలో ఎగిరే అద్దము పట్టుకుంటే పలిగి పోవు?	సబ్బు బుడగ
ml_88	అబ్బాయి గారి దొడ్లో పెద్ద పండు పడితే, పరుగెత్తలేక పది మంది చచ్చారు.	పిడుగు
ml_89	నూరు పళ్ళు ఒకటే నోరు?	దానిమ్మ
ml_90	గోళము కాని గోళము, ఏమి గోళము?	గందర గోళము
ml_91	గోడకు గొలుసు పండు!?	లాంతరు
ml_92	అందమైన చిన్నది, అందాల చిన్నది, నువ్వు చుస్తే నిన్ను చూస్తుంది, నేను చుస్తే నన్ను చూస్తుంది?	అద్దము
ml_93	అడుగులున్నా, కాళ్ళులేనిది?	గజము బద్ద, మీటర్ స్కేలు
ml_94	కిట కిట తలుపులు! కిటారు తలుపులు!! ఎప్పుడు తీసినా చప్పుడు కాదు?	కను రెప్పలు
ml_95	ఆకులు లేని అడ‌విలో జీవం లేని జంతువు జీవాల‌ను వేటాడుతుంది ఏంట‌ది?	దువ్వెన‌
ml_96	ఈత చెట్టుకు ఇద్దరు బిడ్డలు?	కల్లు కుండలు
