ml_riddle	originalriddle	originalriddleanswer
ml_28	નાના શરીરમાં નાની ગાંઠ, જે દિવસભર કરે કામ પરસ્પર મળીને સંગે રહેતી, આરામનું એને નહીં નામ.	કીડી
ml_29	એ તો ભાઈ તો ભારે ઊંચા, પણ લાગે છે સાવ બૂચા, નાની પૂછડી ને ટૂંકા કાન, ને ઊંચી ડોકે ચાવે પાન.	ઊંટ
ml_30	કદરૂપી કાયા લઈને જળઘોડો પાણીમાંથી આવે દોડતો ત્યારે લાગે જાણે પથ્થર કોઇ ગબડાવે.	હિપોપોટેમસ
ml_31	નાનેથી મોટું થાઉં, રંગબેરંગી પાંખો લગાવું હવાની લહેરોમાં તરતું જાઉં, ફૂલો સંગે વાતો કરતું જાઉં.	પતંગિયું
ml_32	વર્ષાઋતુને સહન કરતી, ગરમીને ઘોળી પી જાતી બધાને આરામ આપતી જાતી, પણ ઠંડીમાં નકામી બની જાતી.	છત્રી
ml_33	બાગબગીચે ગાતી રહેતી, પણ પોતાનું ઘર ક્યારેય ન બનાવતી કોલસાથી વધુ કાળી છે પણ સૌની મનભાવન છે.	કોયલ
ml_34	નાકે નકશે એ નમણું દેખાય, પણ ભરતું લાંબી ફાળ આંખો એની ચમકીલી ને ઝડપી એની ચાલ.	હરણ
ml_35	ન તો હું સાંભળી શકું, ન તો હું બોલી શકું આંખ તો મારે છે પણ નહીં તોયે જગ આખાને ભણાવતી જાઉં.	ચોપડી
ml_36	ટર ટર ટર ટર કરતાં ગાય છે, જાણે પોતાનું ગીત સંભળાવે છે, જ્યારે તેઓ તળાવે તરે છે ત્યારે લાંબી પતવાર બનાવે છે.	દેડકો
ml_37	આંધી વર્ષામાં છાતી પહોળી કરી ઠાઠથી હું ઊભો છું, જીવોની હું રક્ષા કરી , ફળ ફૂલનું દાન આપું છું.	વૃક્ષ
ml_38	પાણી તો પોતાનું ઘર, ધીમી જેની ચાલ ભય જોઈને કોકડું વળતો, બની જાતો ખુદની ઢાલ.	કાચબો
ml_39	કાન મોટા ને કાયા નાની, ને કોમળ એના વાળ કોઈ એને પકડી નાં શકે તેવી છે તેજી એની ચાલ.	સસલું
ml_40	છતથી લઈને ખૂણેખાંચરે મળી જાતી છ પગવાળી નાર લાળથી વણતું મલમલ જેવુ કપડું જાળીદાર.	કરોળિયો
ml_41	મંદિર, મસ્જિદ ગુરુદ્વારે જે પાતી બહુમાન પાતળી કાયા હોવા છતાં મહેંક દ્વારા કરે પાન પાન.	અગરબતી
ml_42	જેવા છો તેવા દેખાશો, માટે મારી અંદર ઝાંકો જલ્દીથી દઈ દો જવાબ ખુદને ઓછા ન આંકો.	અરીસો (દર્પણ)
ml_43	થાકવાનું ન મારે નામ, રાત દિવસ હું ચાલતી રહેતી જ્યારે પૂછો ત્યારે સમય બતાવતી, આગળ વધવાનો સંદેશો હું જાતી.	ઘડિયાળ
ml_44	ખુલ્લા આસમાનમાંથી જનમું છું, લીલા ઘાસ પર સૂઈ જાઉં છું, મોતી જેવી સૂરત મારી વાદળોની પૌત્રી છું.	ઝાકળબિંદુ
ml_45	ન ખાય છે ન પીવે છે, બસ અજવાળાને સાથે લઈને ચાલે છે, પણ છાયાને અને અંધારાને જોઈને મરી જાય છે.	પડછાયો
ml_46	શાકભાજીમાં હું છું સૌથી કડવો, પણ ગુણ મારા અપાર રોગોને હું ઝટથી કાપું, મારું નામ બતાવો ચતુર સુજાણ.	કારેલા
ml_47	તડકો લાગે તો ઊભો થાતો, છાયોં આવે તો મરી જાતો જો કોઈ મહેનત કરે તો ફરી પાછો ઊભો થાતો, હવા આપો તો મરી જાતો.	પરસેવો
ml_48	જો તે જાય તો પાછો ન આવે, પણ જઈ રહ્યો હોય તોય નજર ન આવે, આખી દુનિયામાં ચર્ચા એની એ તો સૌથી બળવાન ગણાતો.	સમય
ml_49	એક બગીચામાં અનેક ફૂલ, ને તે ફૂલોનો છે એક રાજા રાજા જ્યારે આવે બગીચામાં ત્યારે નાચતાં ફૂલો આખા.	ચંદ્ર અને તારા
ml_50	ભરી બજારે થેલો લઈને આવ્યો ચોર બંધ ડબ્બાનું તાળું ખોલી, સામાન સઘળો લઈ જાતો.	પોસ્ટમેન
ml_51	રૂડો ને રૂપાળો ને ગોરો ગોરો માખણ જેવો છું મા નો તો ભાઈ નહીં પણ બાળકોનો વ્હાલો મામો છું.	ચાંદામામા
ml_52	જેમ જેમ સેવા કરતો જાઉં છું તેમ તેમ મારું કદ ઘટતું જાય છે, રંગબેરંગી મારો સ્વભાવ હોવા છતાં પાણી સાથે મળી જાઉં છું.	સાબુ
ml_53	જાંબુખિલે એક ફૂલ, થાય અંધારું ડૂલ..	દીવો
ml_54	હાથી ઘોડા ફર્યા કરે પણ, પગ એમના ચાલે ના સવાર પીઠે ઘૂમ્યા કરે, ને ફરવાની મજા લીધા કરે	ચકડોળ
ml_55	કાગળની છે કાયા, અક્ષરની છે આંખ અલકમલકની સહેલ કરાવે, ખૂલે છે જ્યારે પાંખ	પુસ્તક
ml_56	પંદર દિવસ વધતો જાય, પંદર દિવસ ઘટતો જાય સૂરજની તો લઈને સહાય, રાત્રીભર પ્રકાશ પાથરતો જાય	ચંદ્ર
ml_57	રંગે બહુ રૂપાળો છું થોડું ખાઉં તો ધરાઇ જાઉં વધુ ખાઉં તો ફાટી જાઉં	ફુગ્ગો
ml_58	પાણીનું અબૂકલું ઢબૂકલું છું, પાણીમાં જ રહીને ફરું છું પાણીના તરંગોમાં નાચું છું, પાણીમાં જ તરવું મારૂ કામ છે	માછલી
ml_59	લાલ કિલ્લામાં કાળા સિપાઈ લીલી દીવાલમાં ગયા સમાઈ	તરબુચ
ml_60	આટલીક દડી ને હીરે તે જડી દિવસે ખોવાણી તે રાત્રે જડી	તારા
ml_61	વડ જેવા પાન ને શેરડી જેવી પેરી મોગરા જેવા ફૂલ ને આંબા જેવી કેરી	આંકડો
ml_62	ચાલે છે પણ જીવ નથી, હલે છે પણ પગ નથી ખવાય છે પણ ખૂટતો નથી, બેઠક છે પણ બાજઠ નથી…	હિંચકો
ml_63	ધોળું ખેતરને કાળા ચણા હાથે વાવ્યાં ને મોં એ લણ્યા	અક્ષર
ml_64	પઢતો પણ પંડિત નહિ, પાંજરે પૂર્યો પણ ચોર નહિ ચતુર હોય તેઓ ચેતજો, મધુરો પણ મોર નહિ	પોપટ
ml_65	સૂરજ સામે મન ભરીને જોયા કરે સુવે ડાળીમાં સાંજ પડે થાકી જઈને	સૂરજમુખી
ml_66	વનવગડે વસ્તી વગર ઊગી નીકળે, સફેદ ને જાંબલી રંગે સોહાતો રહેતો એના ફૂલની માળા પહેરી હનુમાનજી મલકાતા રહેતા	આંકડો
ml_67	સફેદ ફૂલ ને કેસરી દાંડી વાતાવરણને મહેકાવતા જાય રાત જતી ને સુવાસ લઈને નવી સવાર આવતી જાય	પારિજાત
ml_68	ધોમધકતા ઉનાળામાં લાલ ચટ્ટાક ખિલતો જાય જાણે લાલ રંગી ફૂવારો ઉડતો જાય	કેસૂડો
ml_69	ઘરના ખૂણે એકલું બેસીને બોલતું જાય દુનિયાભરની અવનવી વાતોનો ખજાનો આપણી પાસે ખોલતું જાય	ટેલિવિઝન (ટીવી)
ml_70	પાંચ પાડોશી અને વચ્ચ માં અગાશી	હથેળી
ml_71	વાંચવા અને લખવા બંનેમાં કામ લાગે છે, કાગળ નહીં, કલમ નહીં બોલો શું છે મારું નામ?	ચશ્માં
ml_72	એવું શું છે જે પેદા થતા ની સાથે જ ઉડવા નું શરૂ કરી દે છે?	ધુમાડો
ml_73	એવું શું છે જેને ચાર પગ હોવા છતાં પણ ચાલી શકતું નથી?	ટેબલ
ml_74	એ કઈ વસ્તુ છે જે પાણી પીતા જ મરી જાય છે?	તરસ
ml_75	એ શું છે જેની આંખોમાં જો આંગળી નાખો તો તે પોતાનું મોઢું ખોલી દે છે?	કાતર
ml_76	લીલો ઝંડો, લાલ કમાન, તોબા તોબા કરે માણસ	મરચાં
ml_77	એ કઈ વસ્તુ છે જે ઉપર-નીચે થાય છે પણ પોતાની જગ્યાએ જ રહે છે?	સીડી
ml_78	ઉડું છું પણ પંખી નહીં, સૂંઢ છે પણ હાથી નહી, છ પગ પણ માખી નહી, ગીત ગાઉં છું પણ ભમરો નહીં.	મચ્છર
ml_79	ત્રણ નેત્ર પણ શંકર નહીં, વાળ ઘણા પણ ઘેટું નહીં, પાણી છે પણ ઘડો નહીં, સન્યાસી છે પણ ભગવાન નહીં.	નારિયેળ
ml_80	રંગ બેરંગી લકડક નાર, વાત કરે ન સમજે સાર, સૌ ભાષામાં બોલે એ, ચાલે ત્યાં આંસુની ધાર.	બોલપેન
ml_81	ગોળ ગોળ ફરતી જાય, ફરતી ફરતી ગાતી જાય, દાણો દાણો ખાતી જાય, તોય એનુ પેટ ન ભરાય.	ઘંટી
ml_82	આમ તો નીચી નજરે ચાલે, રીસાય ત્યારે પગ પછાડે, લોકોનો એ ભાર વેંઢારે, તોય કોઇ સારો ન માને.	ગધેડો
ml_83	તણખલા રૂના સંગાથે, ઝૂલું ડાળે ડાળ, જ્યારે પંખી ઊડી જાતા, બચ્ચાની રાખું સંભાળ.	માળો
ml_84	બોખું બોખું મોં ફરે, કરે મઝાની વાતો, આખા ઘરમાં ખુલ્લો મુકે, વાર્તાનો ખજાનો.	દાદા-દાદી
ml_85	મા ગોરી રૂપકડી, ને બચ્ચા કાળાં મેશ, મા મરે, બચ્ચા જો ભળે, દૂધ-ચામાં સુગંધ પ્રસરે.	એલચી
ml_86	લાગે ઢમઢોલ શરીર, પણ નથી મારો કંઇ ભાર, દેહ છે મારો રંગબેરંગી, બાળકોનો છું હું સંગી.	ફુગ્ગો
ml_87	આખો દિવસ ઊંધ્યા કરું, રાત પડે ને રડ્યા કરું, જેટલું રડું એટલું ગુમાવું ? તો બોલો મિત્રો કોણ હું ?	મિણબત્તી
ml_88	ચાર ભાઇ આડા ચાર ભાઈ ઉભા એક એકના અંગમાં બબ્બે જણ બેઠા.	ખાટલો
ml_89	અડધું ફળ ને અડધું ફૂલ, જોવા મળું ના બાગમાં, રંગે કાળું પણ મધ મીઠું તો ઝટપટ કહો હું કોણ..?	ગુલાબ જામુન
ml_90	ચાર ખૂણાનું ચોકઠું, આભે ઉડ્યુ જાય, રાજા પૂછે રાણીને, આ ક્યુ જનાવર જાય.	પતંગ
ml_91	બે માથાં અને બે પગ, જાણે એને આખું જગ, જે કોઈ આવે એની વચમાં, કપાઈ જાય એની કચ કચ માં બોલો એ શું..?	કાતર
ml_92	ખારા જળમાં બાંધી કાયા રસોઈમાં રોજ મારી માયા જન્મ ધર્યાને પારા છોડા, મારા દામ તો ઉપજે થોડા બોલો હું કોણ..?	મીઠું
ml_93	જો તમારી પાસે ચાર ગાય અને બે બકરી છે તો તમારી પાસે કેટલા પગ છે..?	બે
ml_94	એવું શું છે જે જેનું હોય એ જ જોઈ શકે અને માત્ર એક જ વાર જોઈ શકે..?	સપનું
ml_95	ફાળ ભરે પણ મૃગ નહી, નહી સસલો નહી શ્વાન. મો ઉચુ પણ મોર નહી, ચતુર કરો વિચાર.	દેડકો
ml_96	ચાર પાયા પર ઉપર આડી છત, કરો તેના ઉપર બસ લખ લખ લખ	ટેબલ
